index,id,article_title
1,235295,Late repair of injuries of the anal sphincter
2,498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.
3,789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.
4,169865,"[Noninvasive prenatal diagnosis of trisomy 21
5,803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.
6,98234,"Pregabalin
7,823730,Activation and blockade of beta adrenoceptors in common cardiac disorders
8,729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury
9,396821,Awareness of deficits and on-road driving performance
10,340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging
11,184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects
12,729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis
13,278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection
14,965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping
15,53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures
16,13601,Latex allergy in atopic children.
17,668310,"A randomized controlled trial of Tai chi for balance
18,282987,"Multisystemic Therapy for social
19,478292,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.
20,43736,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.
21,82614,"Lycopene metabolite
22,163526,A performance improvement process to tackle tachysystole
23,514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.
24,569841,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.
25,6207,Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease
26,21910,Examining waiting placement in hospital: utilization and the lived experience.
27,378490,"A prospective observational study of obesity
28,971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus
29,793918,Strong stability and host specific bacterial community in faeces of ponies.
30,819166,"Responses to open peer commentaries on ""the subjective brain
31,880881,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].
32,629530,Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.
33,954388,Optimal Starting Age for School Attendance: FY76 Issue Analysis
34,379737,Bone density and body composition in young women with chronic fatigue syndrome.
35,676042,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.
36,353972,"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan
37,968125,Successful treatment of lung cancer by multimodal endobronchial interventions
38,660168,Fat and neurosurgery: does obesity affect outcome after intracranial surgery?
39,732534,Out of harm's way: curbing violence in the ED
40,473026,The incidence of contrast-induced nephropathy in trauma patients.
41,372175,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal
42,110072,Brain BDNF levels elevation induced by physical training is reduced after unilateral common carotid artery occlusion in rats.
43,330553,Multiresistance of clinically relevant gram-positive cocci
44,23215,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.
45,719532,Methodology to estimate building energy consumption using EnergyPlus Benchmark Models
46,86421,Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.
47,433667,"Norton
48,530323,"Strategies for partner notification for sexually transmitted infections
49,102893,A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.
50,864817,Are tkis still active in patients treated with tki and everolimus? Experience from 36 patients treated in france in the record 1 trial
51,217725,Use of alendronate in peri-implant defect regeneration
52,730822,"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine
53,659297,How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.
54,42247,"Gender differences in personal
55,302969,Adolescent overscheduling: The relationship between levels of participation in scheduled activities and self-reported clinical symptomology
56,158672,Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.
57,616298,Does neuraxial anesthesia reduce intraoperative blood loss? A meta-analysis.
58,221086,Novel genetic linkage of rat Sp6 mutation to Amelogenesis imperfecta
59,548616,"Educating Emergent Bilinguals: Policies
60,669596,Similar survival between uncemented and cemented fixation prostheses in total knee arthroplasty: a meta-analysis and systematic comparative analysis using registers.
61,474288,Current palliative chemotherapy trials in the elderly neglect patient-centred outcome measures.
62,108424,Outcome of gastric bypass patients.
63,841679,A Modified Technique for Pulmonary Valve Replacement with a Homograft
64,173830,"Advances in allergic skin disease
