index,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
2,aa,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:45 p.m.
3,aa,AA-1640-MIA-MCO,6:30 p.m.,6:30 PM,7:25 p.m.,7:25 p.m.
4,aa,AA-518-MIA-JFK,2011-12-02T06:40:00,6:54 a.m.,2011-12-02T09:25:00,2011-12-02 09:28:00
5,aa,AA-3756-ORD-SLC,12:15 p.m. Dec 1,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,AA-204-LAX-MCO,11:25 p.m.,11:25 PM,2011-12-02T06:55:00,2011-12-02T06:55:00.000
7,aa,AA-3468-CVG-MIA,11/30 07:00 AM,Dec 01 7:25 a.m.,2011-11-30T09:55:00,Dec 01 9:45 a.m.
8,aa,AA-484-DFW-MIA,4:15 PM Dec 1,2011-12-02T16:29:00,7:55 p.m.,2011-11-30T19:39:00
9,aa,AA-446-DFW-PHL,11:50 a.m.,12:12 p.m.,3:50 p.m.,4:09 p.m.
10,aa,AA-466-IAH-MIA,11/30/2011 6:08 a.m.,2011-11-30T06:08:00,2011-12-02T09:20:00,9:05 a.m.
11,aa,AA-1886-BOS-MIA,2011-12-02T10:45:00,2011-12-02T10:55:00,12/02/2011 1:40 p.m.,2011-11-30T13:40:00
12,aa,AA-2957-DFW-CVG,8:00 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
13,aa,AA-1664-MIA-ATL,10:15 a.m.,2023-12-02T10:18:00,Dec 02 12:10 a.m.,Dec 02 11:56 a.m.
14,aa,AA-3979-CVG-ORD,7:30 AM,2023-11-30T08:04:00,8:00 a.m.,8:06 p.m.
15,aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
16,aa,AA-616-DFW-DTW,9:05 a.m.,9:05 a.m.,12:35 p.m.,1:27 p.m.
17,aa,AA-4344-ORD-DTW,11:45 a.m.,2023-12-02T12:13:00,2:00 p.m.,2:10 p.m.
18,aa,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,11:06 a.m.,11:06 a.m.
19,aa,AA-404-MIA-MCO,6:45 a.m.,12/02/2011 6:57 PM,2011-11-30T07:45:00,12/02/2011 7:40 a.m.
20,aa,AA-271-MIA-LAX,11:35 AM,11:52 a.m.,14:27,2:27 p.m.
21,aa,AA-2050-ORD-MIA,10:40 AM,10:40 a.m.,2011-12-02T14:45:00,2011-11-30T14:46:00
22,aa,AA-4330-CVG-ORD,Dec 01 3:35 p.m.,Dec 01 3:36 p.m.,4:00 p.m.,Dec 1 3:33 p.m.
23,aa,AA-1434-DFW-MCO,2011-12-02T07:15:00,7:21 a.m.,10:35 a.m.,Dec 02 10:36 a.m.
24,aa,AA-4307-ORD-DTW,Dec 02 18:45,Dec 02 6:55 p.m.,Dec 02 9:10 p.m.,Dec 02 8:53 p.m.
25,aa,AA-3-JFK-LAX,12:00 PM Dec 1,12:11 PM Dec 1,15:15 Dec 1,3:16 p.m.
26,aa,AA-3842-MSP-ORD,6:00 a.m.,6:56 p.m.,2011-12-02T07:30:00,2011-12-02T07:51:00
27,aa,AA-643-MIA-ORD,07:10,2011-12-02T07:30:00,12/02/2011 9:35 a.m.,2011-12-02T09:31:00
28,aa,AA-1007-MIA-PHX,4:55 PM,5:08 PM Dec 1,2023-12-02T20:05:00,7:55 PM
29,aa,AA-1221-MCO-ORD,2011-12-02T20:00:00,2011-12-01T20:23:00,2011-12-02T09:45:00,2011-12-02T09:45:00
30,aa,AA-400-DFW-JFK,2011-12-02T10:40:00,11:01 a.m. Dec 2,2011-12-02T14:59:00,Dec 1 3:04 p.m.
31,aa,AA-4198-ORD-CLE,2011-12-02T10:40:00,12:54 p.m.,12:55 p.m.,12:50 p.m.
32,aa,AA-1522-SFO-ORD,11:55 p.m.,11:55 PM,2011-12-02T05:50:00,2011-12-02T05:50:00
33,aa,AA-3823-LAX-DEN,9:00 p.m.,9:00 p.m.,2011-12-02T00:15:00,2011-12-02T00:15:00
34,aa,AA-2312-DFW-DTW,8:25 p.m.,8:25 PM,11:50 p.m.,2023-10-03T23:50:00
35,aa,AA-1165-JFK-MIA,2023-12-02T06:59:00,7:22 a.m.,2023-12-02T10:34:00,10:04 a.m.
36,aa,AA-431-MIA-SFO,2023-12-02T08:35:00,8:51 a.m.,11:50 a.m.,2023-12-02T11:44:00
37,aa,AA-649-ORD-SNA,1:30 p.m.,1:30 PM,3:50 p.m.,3:50 p.m.
38,aa,AA-3063-SLC-LAX,8:20 p.m.,8:39 p.m.,9:20 p.m.,9:39 p.m.
39,aa,AA-3804-PHL-ORD,2023-12-01T14:44:00,2:44 PM Dec 1,2023-12-02T16:05:00,3:43 p.m.
40,aa,AA-1917-JFK-MCO,2011-12-02T14:55:00,12/02/2011 3:27 p.m.,2011-12-02T17:55:00,12/02/2011 5:43 p.m.
41,aa,AA-2268-PHX-ORD,7:15 a.m.,7:22 a.m.,11:35 a.m.,2011-12-02T11:06:00
42,aa,AA-4277-CVG-JFK,12:10 p.m.,12:10 p.m.,2:15 p.m.,2023-11-30T13:43:00
43,aa,AA-789-ORD-DEN,1:05 PM Dec 1,2011-12-02T13:19:00,2011-12-01T14:35:00,2011-12-02T15:13:00
44,aa,AA-415-BOS-ORD,2011-12-02T08:35:00,2011-12-02T08:56:00,2011-12-02T10:40:00,2011-12-02T10:16:00
45,aa,AA-85-JFK-SFO,2011-12-02T15:05:00,2011-12-02T15:36:00,2011-12-02T18:30:00,12/02/2011 6:43 p.m.
46,aa,AA-1544-SAN-ORD,11:25 AM Dec 1,11:25 AM,2023-12-02T17:25:00,4:56 p.m.
47,aa,AA-3786-IAH-ORD,16:00,2011-12-02T16:12:00,6:40 p.m.,2011-12-02T18:15:00
48,aa,AA-222-LAX-BOS,7:10 a.m. Dec 1,7:31 a.m.,3:30 p.m.,2011-12-02T15:14:00
49,aa,AA-3809-PHX-LAX,6:00 a.m. Dec 1,6:10 a.m.,6:40 a.m.,12/1 6:19 a.m.
50,aa,AA-59-JFK-SFO,Dec 02 7:10 PM,12:39 PM,10:45 AM,11:12 a.m. Dec 2
51,helloflight,AA-3859-IAH-ORD,TBD,7:16 PM,9:22 AM,09:22 AM
52,helloflight,CO-1586-IAH-MCO,12/02/2011 10:00 a.m.,Not Available,2011-12-02T22:15:00,12/02/2011 10:15 p.m.
53,helloflight,AA-518-MIA-JFK,2023-12-02T06:54:00,2023-12-02T06:54:00,Dec 02 9:14 a.m.,9:14 a.m.
54,helloflight,UA-397-JFK-SFO,8:00 a.m.,8:48 a.m.,11:30 a.m.,11:30 a.m.
55,helloflight,UA-3925-IAD-ORF,09:00:00,9:00 a.m.,9:29 a.m.,9:29 a.m.
56,helloflight,AA-1733-ORD-PHX,7:00 p.m.,7:59 p.m.,10:31 p.m.,10:31 p.m.
57,helloflight,UA-2830-MCO-CLT,3:30 p.m.,3:50 p.m.,5:14 p.m.,5:14 p.m.
58,helloflight,CO-58-DEN-IAH,11:25 AM,11:25 a.m.,2:50 p.m.,14:50
59,helloflight,AA-1544-SAN-ORD,TBD,11:41 a.m.,16:54,4:54 p.m.
60,helloflight,UA-5487-SFO-MRY,10:53 a.m.,10:53 a.m.,11:11 a.m.,11:11 a.m.
61,helloflight,AA-204-LAX-MCO,11:00 p.m.,23:29,12/2/11 6:35 a.m.,2011-12-02T06:35:00
